# Frequency (MHz)    Flux_DM (s.f.u.)
1482.89345063538622    8.59886360283176
1484.84848484848499    8.60132041208050
1486.80351906158353    8.60372350700390
1488.75855327468230    8.60607285941573
1490.71358748778107    8.60836844161020
1492.66862170087984    8.61061022636197
1494.62365591397838    8.61279818692608
1496.57869012707715    8.61493229703807
1498.53372434017592    8.61701253091388
1500.48875855327469    8.61979250233169
1502.44379276637346    8.62327587164692
1504.39882697947223    8.62671019740603
1506.35386119257100    8.63009544798796
1508.30889540566955    8.63343159219197
1510.26392961876832    8.63671859923772
1512.21896383186709    8.63995643876523
1514.17399804496563    8.64314508083490
1516.12903225806440    8.64628449592750
1518.08406647116317    8.64937465494417
1520.03910068426194    8.65241552920640
1521.99413489736071    8.65540709045608
1523.94916911045948    8.65834931085544
1525.90420332355825    8.66124216298712
1527.85923753665702    8.66408561985410
1529.81427174975579    8.66687965487974
1531.76930596285433    8.66962424190776
1533.72434017595310    8.67231935520227
1535.67937438905187    8.67496496944773
1537.63440860215042    8.67756105974900
1539.58944281524919    8.68010760163126
1541.54447702834796    8.68260457104012
1543.49951124144673    8.68505194434153
1545.45454545454550    8.68744969832179
1547.40957966764427    8.68979781018761
1549.36461388074304    8.69209625756605
1551.31964809384181    8.69434501850455
1553.27468230694035    8.69654407147090
1555.22971652003912    8.69869339535329
1557.18475073313789    8.70079296946025
1559.13978494623643    8.70284277352071
1561.09481915933520    8.70484278768394
1563.04985337243397    8.70679299251962
1565.00488758553274    8.70869336901775
1566.95992179863151    8.71054389858875
1568.91495601173028    8.71234456306337
1570.86999022482905    8.71409534469276
1572.82502443792782    8.71579622614843
1574.78005865102637    8.71744719052225
1576.73509286412514    8.71904822132647
1578.69012707722391    8.72059930249372
1580.64516129032245    8.72210041837698
1582.60019550342122    8.72355155374963
1584.55522971651999    8.72495269380537
1586.51026392961876    8.72630382415833
1588.46529814271753    8.72760493084297
1590.42033235581630    8.72885600031413
1592.37536656891507    8.73005701944704
1594.33040078201384    8.73120797553726
1596.28543499511238    8.73230885630076
1598.24046920821115    8.73335964987386
1600.19550342130992    8.73227025380041
1602.15053763440847    8.72798639277140
